Date,Open,High,Low,Close,Adj Close,Volume
2008-04-21,46.133331,52.433334,45.066666,45.700001,38.877411,1805366
2008-04-28,45.433334,53.200001,45.266666,50.466667,42.932442,902425
2008-05-05,50.500000,55.066666,46.599998,47.333332,40.266888,1005791
2008-05-12,47.200001,48.633331,42.500000,44.333332,37.714764,1017259
2008-05-19,44.333332,44.933334,41.333332,42.033333,35.758137,785904
2008-05-26,43.000000,43.000000,39.366665,39.666664,33.744785,316566
2008-06-02,39.333332,40.833332,33.400002,33.900002,28.839041,414785
2008-06-09,31.400000,36.266666,28.933332,31.733334,26.995836,986789
2008-06-16,33.133331,33.933334,31.466665,31.966665,27.194330,893994
2008-06-23,31.500000,31.966665,28.000000,29.566666,25.152630,325896
2008-06-30,29.799999,30.966665,24.000000,30.966665,26.343624,2344646
2008-07-07,32.933334,36.299999,28.766666,29.733334,25.294422,1202544
2008-07-14,28.766666,30.666666,25.333332,28.433332,24.188492,2101856
2008-07-21,28.933332,29.933332,26.666666,27.666666,23.536280,903882
2008-07-28,28.600000,32.666664,27.166666,31.500000,26.797337,1863200
2008-08-04,31.933332,42.933334,31.933332,42.200001,35.899925,5020080
2008-08-11,43.266666,43.299999,37.866665,38.666664,32.894077,1687075
2008-08-18,39.000000,39.266666,35.599998,37.466667,31.873232,936398
2008-08-25,38.533333,39.799999,35.000000,36.299999,30.880733,1383641
2008-09-01,36.833332,37.666664,35.933334,36.566666,31.107595,470690
2008-09-08,38.666664,42.266666,34.666664,35.033333,29.803177,553812
2008-09-15,34.000000,34.599998,27.000000,32.466667,27.619686,792407
2008-09-22,32.133331,41.266666,32.133331,33.233334,28.417179,3551155
2008-09-29,33.000000,33.333332,27.100000,28.400000,24.284286,1016792
2008-10-06,27.666666,29.200001,21.966665,23.366667,19.980383,1203138
2008-10-13,24.166666,30.666666,23.333332,28.299999,24.198782,2357814
2008-10-20,30.000000,31.966665,25.799999,26.200001,22.403111,1371605
2008-10-27,26.333332,27.833332,22.666666,26.433332,22.602634,390077
2008-11-03,27.799999,32.599998,27.000000,31.299999,26.764025,791533
2008-11-10,32.133331,34.000000,28.100000,29.366667,25.110868,350241
2008-11-17,30.000000,30.000000,26.033333,26.933332,23.030170,308443
2008-11-24,27.333332,29.333332,26.566666,27.233334,23.286694,287123
2008-12-01,27.633333,38.166664,27.133333,33.533333,28.673704,1666939
2008-12-08,39.966667,39.966667,32.400002,33.233334,28.417179,538576
2008-12-15,32.733334,35.500000,29.833332,32.500000,27.790121,930553
2008-12-22,33.400002,34.533333,30.466665,31.666666,27.077555,606488
2008-12-29,31.133333,37.933334,30.833332,35.733334,30.554888,1422968
2009-01-05,36.666664,39.200001,28.666666,30.466665,26.051453,1123620
2009-01-12,31.000000,31.666666,28.066666,29.033333,24.825840,347531
2009-01-19,29.066666,30.933332,27.266666,27.466665,23.486214,341619
2009-01-26,27.466665,29.466665,26.066666,26.566666,22.716637,586234
2009-02-02,26.000000,26.799999,23.666666,24.233334,20.721455,356030
2009-02-09,24.233334,29.333332,24.000000,28.533333,24.398300,2241519
2009-02-16,29.000000,30.666666,27.600000,29.299999,25.053860,1096665
2009-02-23,29.299999,30.533333,28.100000,29.833332,25.509907,465266
2009-03-02,29.500000,34.933334,28.033333,29.200001,24.968355,1956036
2009-03-09,29.233334,30.600000,28.466665,29.133333,24.911352,236474
2009-03-16,28.666666,31.733334,28.400000,30.000000,25.652420,408991
2009-03-23,30.933332,32.599998,29.733334,30.100000,25.737925,384408
2009-03-30,29.733334,37.833332,29.000000,33.033333,28.246168,1050259
2009-04-06,33.700001,34.900002,31.400000,34.666664,29.642786,687857
2009-04-13,34.666664,41.266666,32.333332,32.833332,28.075144,1479216
2009-04-20,33.333332,35.166664,32.000000,34.466667,29.471783,507062
2009-04-27,34.599998,36.866665,32.000000,32.333332,27.647608,557316
2009-05-04,32.666664,37.933334,32.133331,33.833332,28.930225,2513690
2009-05-11,34.599998,34.666664,31.366667,32.233334,27.562099,617667
2009-05-18,36.000000,51.166664,33.333332,51.166664,43.751625,5083480
2009-05-25,52.000000,56.433334,47.666664,55.833332,47.742004,5515982
2009-06-01,59.000000,63.666664,54.366665,58.700001,50.193237,4232042
2009-06-08,59.733334,63.266666,50.733334,55.733334,47.656494,2949599
2009-06-15,53.333332,57.966667,48.366665,50.633331,43.295582,1471497
2009-06-22,51.000000,56.166664,48.066666,54.266666,46.402374,1444601
2009-06-29,55.333332,56.033333,48.000000,52.633331,45.005741,989522
2009-07-06,53.333332,55.099998,43.599998,46.066666,39.390709,2101801
2009-07-13,44.000000,52.966667,41.466667,48.299999,41.300396,7052611
2009-07-20,48.733334,50.200001,46.666664,48.133331,41.157879,5046858
2009-07-27,49.166664,51.533333,46.599998,48.733334,41.966892,4394652
2009-08-03,48.933334,51.200001,45.366665,45.700001,39.354729,3557146
2009-08-10,46.666664,47.233334,42.066666,45.733334,39.383419,1809451
2009-08-17,45.066666,51.666664,43.000000,50.866665,43.804020,5552393
2009-08-24,51.866665,57.666664,50.000000,55.633331,47.908852,14332946
2009-08-31,55.200001,59.466667,48.833332,59.099998,50.894176,21601469
2009-09-07,60.533333,62.700001,57.333332,58.466667,50.348782,28760256
2009-09-14,58.000000,61.466667,56.400002,58.033333,49.975620,6722183
2009-09-21,58.133331,61.599998,56.466667,58.500000,50.377491,9013301
2009-09-28,58.633331,60.900002,57.733334,58.200001,50.119148,3785957
2009-10-05,57.733334,58.500000,53.000000,53.533333,46.100433,3745233
2009-10-12,54.333332,57.000000,50.700001,53.799999,46.330067,8112435
2009-10-19,53.766666,54.666664,50.066666,50.366665,43.373447,2367594
2009-10-26,50.833332,50.833332,43.000000,43.599998,37.546295,2619017
2009-11-02,43.133331,46.133331,40.166664,45.266666,38.981552,1737277
2009-11-09,45.666664,48.666664,44.366665,46.700001,40.215878,2476846
2009-11-16,47.333332,49.900002,46.666664,47.633331,41.019611,2320797
2009-11-23,48.000000,48.599998,41.666664,43.000000,37.029610,2087318
2009-11-30,44.000000,46.900002,43.533333,45.066666,38.809319,1793161
2009-12-07,45.333332,48.266666,44.933334,46.166664,39.756599,2720587
2009-12-14,46.266666,46.733334,43.733334,43.966667,37.862064,1126436
2009-12-21,44.333332,46.299999,43.433334,45.666664,39.326019,913058
2009-12-28,45.666664,48.599998,45.666664,47.333332,40.761269,1503393
2010-01-04,47.933334,50.866665,47.066666,48.000000,41.335373,3269337
2010-01-11,48.666664,52.866665,44.866665,50.233334,43.258621,4783530
2010-01-18,50.233334,58.333332,48.666664,54.500000,46.932873,12323802
2010-01-25,53.666664,56.466667,48.333332,50.000000,43.057678,3525476
2010-02-01,50.666664,54.966667,47.433334,48.599998,41.852070,5038245
2010-02-08,49.900002,51.633331,44.400002,50.066666,43.115086,1735007
2010-02-15,50.666664,52.500000,47.866665,49.900002,42.971573,4157688
2010-02-22,51.066666,51.333332,47.866665,48.233334,41.536312,2105121
2010-03-01,48.233334,50.866665,48.066666,49.700001,42.799343,1470078
2010-03-08,50.299999,50.599998,46.366665,46.633331,40.158470,1354864
2010-03-15,46.666664,47.266666,45.533333,46.200001,39.785297,939558
2010-03-22,46.533333,48.833332,45.433334,46.500000,40.043640,1905153
2010-03-29,46.666664,46.866665,44.000000,45.333332,39.038967,979367
2010-04-05,45.599998,48.266666,45.500000,45.933334,39.555656,2234299
2010-04-12,46.333332,46.333332,44.333332,44.500000,38.321339,1140238
2010-04-19,43.666664,45.266666,42.733334,42.966667,37.000904,1362471
2010-04-26,43.466667,44.833332,42.466667,43.000000,37.029610,1483227
2010-05-03,43.400002,43.400002,39.766666,39.933334,34.388737,966006
2010-05-10,40.599998,41.666664,39.400002,39.633331,34.130386,606632
2010-05-17,39.033333,41.599998,36.666664,37.866665,32.609020,1832967
2010-05-24,39.000000,40.000000,37.066666,38.566666,33.211819,665705
2010-05-31,38.066666,39.333332,37.400002,38.366665,33.039597,408693
2010-06-07,37.966667,38.166664,36.166664,37.633331,32.408085,360006
2010-06-14,38.000000,41.266666,37.366665,39.299999,33.843342,890187
2010-06-21,39.866665,42.533333,39.333332,41.000000,35.307297,852755
2010-06-28,41.466667,47.866665,40.333332,46.533333,40.072350,4924821
